hour_of_day,day_of_week,transport_mode,route_length_meters,danger_spot_count,crowd_density,historical_incident_density,lighting_score,risk_score
20,2,auto,2956,4,0.78,0.9,0.7,69.42
19,3,cab,2792,5,0.07,0.5,0.45,57.55
13,3,bus,1078,4,0.72,0.57,0.68,47.8
23,5,auto,9259,5,0.8,0.91,0.29,99.45
16,2,auto,9646,1,0.33,0.47,0.9,34.47
23,6,mixed,3499,5,0.9,0.65,0.13,100
7,5,cab,7389,2,0.4,0.59,0.79,36.64
3,3,walking,1666,3,0.89,0.5,0.35,91.62
12,4,cab,7268,0,0.88,0.15,1.0,11.77
10,3,mixed,7996,1,0.35,0.72,0.91,49.99
15,2,auto,5634,5,0.11,0.45,0.68,54.59
5,4,auto,8521,0,0.17,0.43,0.2,65.88
13,3,bus,576,0,0.56,0.73,0.98,26.09
10,6,mixed,3622,0,0.69,0.63,0.7,35.13
22,2,cab,2612,0,0.41,0.59,0.11,53.15
1,2,cab,7969,5,0.54,0.52,0.2,72.9
21,1,cab,8531,2,0.76,0.16,0.75,35.96
12,0,auto,4175,5,0.99,0.21,0.61,39.16
16,1,walking,6506,5,0.67,0.04,0.95,48.01
8,6,mixed,1296,4,0.99,0.66,0.86,52.74
0,0,walking,7328,3,0.41,0.55,0.22,100
4,1,walking,5433,3,0.68,0.66,0.14,100
19,5,auto,7362,0,0.54,0.62,0.44,55.94
3,3,auto,3772,2,0.84,0.97,0.18,81.59
13,2,auto,1145,4,0.52,0.21,0.97,33.54
10,1,walking,708,5,0.13,0.11,0.83,48.73
15,1,walking,8883,0,0.74,0.1,0.7,24.12
7,3,cab,4827,3,0.1,0.81,0.95,44.47
9,2,cab,7479,5,0.16,0.85,0.96,52.12
0,6,auto,3293,2,0.39,0.44,0.27,69.47
23,0,cab,6115,1,0.16,0.4,0.21,58.07
12,5,bus,7409,5,0.89,0.17,0.65,44.13
23,0,auto,2199,3,0.92,0.48,0.25,69.97
14,1,mixed,6721,2,0.63,0.86,0.95,57.48
23,1,bus,8497,0,0.89,0.44,0.07,64.84
20,2,walking,9098,5,0.6,0.57,0.79,89.1
21,6,cab,9004,4,0.7,0.62,0.52,63.35
23,1,bus,6164,5,0.69,0.38,0.34,84.21
17,4,walking,690,5,0.94,0.51,0.79,54.1
15,6,auto,1726,3,0.35,0.33,0.71,37.21
16,1,mixed,6703,3,0.83,0.08,0.78,38.94
18,3,walking,8666,3,0.35,0.98,0.67,100
0,0,bus,7255,0,0.58,0.0,0.08,55.1
19,4,cab,8828,4,0.25,0.67,0.78,59.93
11,6,walking,4152,3,0.37,0.77,0.84,67.23
22,5,cab,7914,0,0.14,0.66,0.05,66.99
11,6,cab,9473,4,0.41,0.11,0.96,32.85
15,1,bus,2252,2,0.63,0.19,0.97,23.97
12,1,bus,3622,5,0.37,0.76,0.62,61.97
20,6,mixed,2518,3,0.48,0.59,0.55,78.07
15,0,mixed,1295,4,0.94,0.84,0.79,60.38
16,6,auto,9979,1,0.74,0.13,0.75,23.62
19,4,cab,8759,3,0.45,0.61,0.65,54.04
7,2,bus,6117,2,0.48,0.13,0.77,32.04
22,5,mixed,5397,5,0.57,0.31,0.31,100
17,5,auto,3791,1,0.64,0.29,0.74,25.1
21,1,auto,8755,4,0.71,0.32,0.36,63.99
11,4,bus,9849,5,0.72,0.67,0.96,55.57
17,2,bus,709,4,0.15,0.38,0.62,48.13
1,1,cab,3136,2,0.7,0.15,0.07,51.12
9,1,mixed,1029,2,0.82,0.1,0.95,21.0
23,4,auto,9695,3,0.28,0.78,0.33,88.79
9,5,walking,6751,3,0.45,0.79,0.87,70.98
17,0,walking,4617,1,0.64,0.78,0.95,48.81
7,5,cab,9455,5,0.62,0.78,0.99,46.76
9,3,auto,1720,1,0.96,0.74,0.65,32.79
1,3,cab,9619,2,0.17,0.58,0.14,67.95
10,3,auto,1154,1,0.93,0.6,0.91,25.0
20,4,cab,8537,4,0.57,0.07,0.65,45.49
16,1,auto,9029,0,0.8,0.16,0.82,17.55
12,0,cab,4124,1,0.68,0.33,0.72,22.11
19,4,bus,9696,5,0.06,0.67,0.52,82.36
20,4,mixed,4494,0,0.7,0.32,0.76,41.74
3,3,cab,9351,5,0.32,0.91,0.34,81.75
11,4,mixed,7800,3,0.09,0.9,0.68,75.79
16,0,walking,3242,4,0.56,0.63,0.68,68.36
20,6,auto,7450,0,0.25,0.83,0.74,60.17
23,6,bus,1681,5,0.7,0.02,0.3,73.04
1,0,walking,1389,1,0.8,0.56,0.25,81.76
7,2,bus,6857,3,0.65,0.43,0.61,47.74
21,0,mixed,596,5,0.73,0.06,0.67,55.38
1,5,walking,6360,4,0.15,0.79,0.16,100
2,2,bus,6749,3,0.83,0.03,0.1,70.39
7,1,bus,9441,2,0.96,0.14,0.87,27.12
23,5,cab,682,4,0.88,0.14,0.06,60.89
18,4,bus,9300,4,0.95,0.3,0.67,60.28
23,2,auto,7260,5,0.86,0.14,0.11,75.56
19,6,cab,3683,0,0.22,0.8,0.73,47.28
17,3,mixed,1698,2,0.69,0.25,0.68,32.94
18,3,cab,6351,1,0.69,0.23,0.44,36.69
2,1,cab,8460,3,0.36,0.66,0.29,71.14
4,4,mixed,6471,2,0.96,0.17,0.16,76.79
7,5,bus,5033,2,0.18,0.73,0.95,47.88
14,3,cab,5504,3,0.57,0.18,0.84,28.77
8,6,auto,9324,1,0.3,0.89,0.63,49.73
2,0,mixed,1011,4,0.6,0.77,0.12,100
1,4,cab,9404,4,0.5,0.78,0.18,78.53
7,6,mixed,5267,1,0.49,0.51,0.76,41.69
16,0,auto,3217,4,0.18,0.16,0.83,39.94
18,5,auto,8421,2,0.09,0.76,0.42,74.84
8,2,auto,1201,5,0.25,0.91,0.74,58.95
15,3,walking,1153,5,0.36,0.7,0.81,68.38
8,6,cab,9980,4,0.59,0.38,0.75,39.94
18,5,walking,8965,2,0.41,0.91,0.56,97.16
11,6,cab,8476,3,0.89,0.01,0.95,22.61
14,1,auto,1763,4,0.66,0.21,0.67,37.17
11,4,walking,4273,3,0.82,0.72,0.79,61.15
15,3,auto,3141,5,0.84,0.02,0.62,33.85
18,4,auto,2707,5,0.54,0.89,0.37,76.33
5,2,auto,8964,3,0.62,0.56,0.06,83.43
23,5,cab,1904,1,0.48,0.99,0.35,67.63
5,1,bus,2838,4,0.83,0.18,0.28,72.35
8,1,cab,7929,4,0.61,0.23,0.75,36.41
3,0,auto,9064,4,0.7,0.83,0.26,92.7
5,3,mixed,1139,4,0.53,0.12,0.22,83.28
4,4,mixed,519,5,0.67,0.52,0.18,95.68
1,5,mixed,7528,1,0.94,0.48,0.32,78.32
11,4,mixed,2100,3,0.18,0.48,0.69,53.24
2,2,mixed,9408,3,0.29,0.01,0.31,83.33
0,4,mixed,2430,4,0.06,0.65,0.29,100
10,3,cab,2246,1,0.45,0.59,0.7,27.8
17,3,mixed,6490,4,0.31,0.68,0.9,68.79
13,4,mixed,8404,1,0.4,0.55,0.7,47.3
9,4,cab,7022,5,0.18,0.86,0.65,55.69
7,3,auto,2142,1,0.53,0.79,0.92,34.93
19,5,walking,3133,3,0.97,0.01,0.35,62.66
4,3,mixed,7633,0,0.11,0.22,0.08,76.23
1,5,bus,7064,4,0.67,0.29,0.39,80.89
1,6,auto,8599,3,0.06,0.85,0.38,91.98
16,2,auto,1050,4,0.54,0.7,0.85,48.08
21,0,cab,4419,5,0.05,0.16,0.8,47.95
12,2,bus,7142,4,0.24,0.02,0.88,41.8
2,4,cab,9660,4,0.38,0.96,0.15,83.81
19,1,bus,7118,4,0.05,0.18,0.55,67.12
17,0,mixed,5321,2,0.95,0.8,0.98,49.26
17,6,mixed,4598,5,0.47,0.38,0.79,56.92
7,6,cab,8017,5,0.49,0.59,0.61,47.74
3,2,walking,6769,5,0.8,0.22,0.3,100
10,3,cab,8962,4,0.06,0.83,0.7,54.6
2,3,cab,1745,4,0.93,0.48,0.17,63.13
18,2,auto,3615,3,0.75,0.23,0.42,50.87
8,1,auto,3822,1,0.84,0.36,0.91,22.93
3,0,bus,608,4,0.96,0.85,0.18,88.46
10,3,mixed,5001,3,0.22,0.76,0.8,65.01
12,1,mixed,2601,0,0.55,0.42,0.98,23.43
1,4,cab,6950,5,0.79,0.46,0.09,70.91
16,3,cab,637,0,0.69,0.38,0.64,15.64
11,4,cab,3566,4,0.3,0.27,0.98,33.56
10,2,auto,8671,3,0.25,0.7,0.75,54.23
12,2,bus,3447,4,0.17,0.58,0.69,56.54
3,5,cab,4363,4,0.46,0.38,0.1,68.13
23,1,bus,659,1,0.45,0.13,0.36,53.19
20,4,mixed,5672,3,0.34,0.56,0.58,78.33
12,0,auto,1483,1,0.82,0.48,0.85,24.01
14,5,cab,4756,2,0.39,0.56,0.92,32.43
11,0,bus,2486,2,0.87,0.96,0.68,48.1
18,5,mixed,3359,2,0.39,0.67,0.54,76.65
23,3,walking,6743,4,0.32,0.63,0.1,100
5,5,cab,7411,5,0.63,0.4,0.37,67.61
2,1,cab,4239,2,0.35,0.29,0.14,57.34
20,3,cab,7789,2,0.76,0.52,0.53,46.54
5,1,walking,2548,5,0.27,0.25,0.31,100
23,0,auto,3234,3,0.15,0.06,0.36,65.48
17,0,walking,7004,4,0.78,0.08,0.7,51.72
4,0,bus,5568,1,0.29,0.28,0.27,67.26
4,4,auto,968,0,0.68,0.86,0.16,65.75
15,3,mixed,4963,4,0.47,0.97,0.88,74.41
5,4,mixed,7980,5,0.76,0.88,0.2,100
20,5,mixed,5573,2,0.51,0.23,0.34,67.77
9,2,bus,4756,1,0.34,0.0,0.93,19.74
4,2,cab,8187,4,0.06,0.92,0.38,82.72
15,2,walking,7552,2,0.62,0.8,0.82,63.0
6,3,mixed,7661,3,0.29,0.71,0.86,64.35
12,1,cab,1797,3,0.64,0.52,0.92,30.82
19,6,cab,5164,5,0.76,0.81,0.51,66.35
2,1,auto,5244,0,0.66,0.62,0.15,65.35
19,3,auto,5753,0,0.19,0.97,0.31,64.06
3,2,cab,2548,5,0.47,0.01,0.08,58.67
0,3,auto,6101,3,0.35,0.8,0.4,86.99
14,5,walking,5910,0,0.85,0.95,0.62,53.48
12,0,mixed,8202,1,0.23,0.84,0.93,54.95
0,0,auto,6804,3,0.28,0.99,0.12,97.29
23,6,walking,9038,5,0.98,0.47,0.29,100
9,2,auto,1191,5,0.94,0.52,0.7,42.74
20,2,auto,6405,0,0.87,0.22,0.36,37.9
20,3,cab,746,1,0.8,0.58,0.5,36.76
7,0,walking,8286,5,0.62,0.37,0.64,66.36
5,3,walking,6044,5,0.11,0.36,0.1,100
17,6,walking,2561,3,0.27,0.98,0.92,71.69
11,6,bus,3661,0,0.7,0.36,0.65,23.31
1,3,bus,9659,2,0.57,0.49,0.25,78.14
17,2,cab,8174,2,0.87,0.6,0.94,31.65
5,0,mixed,3039,3,0.33,0.26,0.18,87.29
0,6,mixed,6710,5,0.23,0.02,0.35,91.36
19,1,cab,1537,5,0.97,0.82,0.39,57.27
21,3,mixed,3025,4,0.32,0.41,0.46,77.81
3,4,walking,1217,1,0.22,0.03,0.09,72.21
6,0,walking,9855,5,0.84,0.66,0.81,71.1
22,4,cab,1304,2,0.26,0.72,0.05,65.4
6,5,bus,1810,3,0.81,0.06,0.82,25.76
13,6,cab,1455,4,0.3,0.04,0.63,29.95
9,0,auto,9011,0,0.15,0.23,0.75,26.23
6,4,auto,9839,5,0.95,0.56,0.82,49.5
23,0,mixed,6364,5,0.49,0.67,0.36,100
5,6,auto,9510,3,0.53,0.66,0.24,84.51
19,3,cab,5663,4,0.99,0.32,0.49,48.63
20,3,cab,4443,4,0.57,0.38,0.58,50.75
23,2,cab,7912,3,0.96,0.0,0.06,54.38
9,4,walking,8980,1,0.99,0.3,0.72,35.16
7,1,cab,855,5,0.83,0.92,0.8,43.94
18,4,auto,2044,0,0.49,0.16,0.43,32.86
18,1,auto,4698,2,0.14,0.4,0.76,52.42
23,0,cab,8405,1,0.51,0.9,0.3,66.3
3,4,cab,1112,5,0.82,0.38,0.32,60.05
10,2,bus,7324,0,0.88,0.23,0.86,19.19
19,0,bus,1386,2,0.55,0.32,0.58,47.01
10,4,auto,3009,0,0.69,1.0,0.99,33.99
19,4,mixed,1975,1,0.46,0.79,0.37,68.76
10,0,bus,9862,5,0.1,0.4,0.63,58.47
16,3,auto,2709,3,0.58,0.49,0.86,38.76
6,4,mixed,9089,1,0.28,0.27,0.77,38.23
21,4,walking,2343,5,0.44,0.37,0.4,83.06
11,4,walking,5494,1,0.99,0.62,1.0,39.53
14,4,auto,7716,0,0.93,0.23,0.87,17.6
4,6,walking,2341,5,0.1,0.95,0.37,100
9,0,cab,2323,2,0.48,0.02,0.68,19.56
17,1,auto,9452,4,0.76,0.55,0.85,49.63
4,5,walking,6670,4,0.91,0.53,0.14,100
1,2,auto,4944,0,0.49,0.95,0.07,76.47
21,2,cab,2267,0,0.33,0.88,0.49,44.36
12,4,walking,5668,3,0.87,0.53,0.67,58.38
16,3,mixed,852,0,0.29,0.53,0.73,31.16
12,5,auto,801,2,0.7,0.36,0.72,28.08
16,2,walking,4721,3,0.9,0.81,0.61,67.48
17,2,auto,2985,2,0.9,0.66,0.64,38.41
12,4,mixed,4226,3,0.28,0.15,0.99,39.81
19,2,bus,9383,1,0.25,0.14,0.57,46.69
6,6,auto,5562,5,0.72,0.52,0.65,51.29
4,5,mixed,3089,2,0.11,0.53,0.3,90.13
5,2,auto,983,2,0.89,0.41,0.19,62.12
14,5,cab,2989,1,0.15,0.18,0.9,19.41
19,4,cab,9790,4,0.27,0.23,0.64,51.45
11,0,bus,2696,4,0.85,0.47,0.86,43.46
5,6,bus,8551,3,0.18,0.19,0.06,81.7
0,2,bus,4146,5,0.69,0.2,0.12,79.34
5,3,mixed,8527,5,0.36,0.46,0.14,100
12,6,walking,6732,5,0.35,0.61,0.9,73.56
19,4,mixed,1130,4,0.15,0.46,0.74,73.58
7,4,mixed,6981,5,0.09,0.39,0.91,62.87
1,1,cab,7701,3,0.89,0.77,0.15,71.21
5,3,cab,1393,5,0.54,0.14,0.34,56.84
14,0,mixed,2354,1,0.79,0.94,0.88,45.79
4,3,bus,5799,3,0.07,0.45,0.36,84.64
6,3,walking,4597,2,0.71,0.91,0.92,60.35
22,5,walking,1994,0,0.72,0.63,0.08,87.19
22,3,mixed,3119,3,0.57,0.04,0.11,78.68
10,4,auto,3156,1,0.22,0.71,0.77,38.96
9,5,bus,5231,5,0.22,0.9,0.98,64.55
0,4,cab,700,3,0.52,0.5,0.33,59.17
19,3,auto,4053,4,0.68,0.45,0.52,62.08
19,4,walking,4509,4,0.31,0.63,0.71,91.1
6,0,auto,2929,0,0.67,0.04,0.94,8.81
21,4,mixed,5389,2,0.92,0.05,0.51,49.21
5,1,cab,9876,4,0.22,0.46,0.25,72.64
1,0,cab,5789,2,0.9,0.82,0.32,64.86
17,0,cab,8213,1,0.17,0.86,0.73,40.61
13,4,auto,3925,4,0.11,0.57,0.99,50.43
16,0,bus,5205,3,0.63,0.32,0.81,39.86
19,2,auto,9718,3,0.54,0.63,0.55,65.92
5,4,auto,5259,1,0.05,0.02,0.27,58.44
3,5,auto,7293,3,0.09,0.35,0.33,78.88
6,0,auto,5114,2,0.8,0.31,0.8,30.57
10,6,walking,2365,5,0.37,0.4,0.83,59.28
0,6,auto,3678,2,0.84,0.92,0.22,79.58
15,6,walking,2724,3,0.2,0.46,0.95,53.56
10,3,bus,1417,4,0.33,0.72,0.73,55.55
17,0,auto,9960,5,0.37,0.92,0.92,63.09
2,1,cab,1010,2,0.98,0.63,0.34,54.39
18,4,bus,3570,4,0.16,0.78,0.45,80.18
10,5,walking,4948,3,0.13,0.88,0.75,77.13
9,1,mixed,5453,1,0.16,0.78,0.91,52.06
2,3,mixed,908,3,0.91,0.15,0.17,73.93
15,5,mixed,5584,2,0.19,0.87,0.93,61.19
16,5,auto,3861,5,0.08,0.39,0.95,47.2
3,0,cab,1221,5,0.86,0.87,0.17,72.59
1,0,mixed,5619,0,0.6,0.31,0.36,67.46
10,1,auto,5195,2,0.56,0.77,0.87,44.32
8,1,auto,4983,0,0.06,0.62,0.81,34.49
6,4,cab,9500,2,0.31,0.94,0.92,43.73
18,1,auto,1667,2,0.63,0.34,0.52,45.54
4,0,bus,1326,0,0.41,0.09,0.19,50.1
22,4,mixed,7804,4,0.39,0.33,0.12,100
21,6,mixed,1786,3,0.59,0.09,0.7,56.68
22,3,walking,7964,2,0.7,0.71,0.21,100
7,1,auto,4727,2,0.42,0.7,0.87,43.06
10,3,bus,995,0,0.5,0.35,0.78,19.28
5,2,cab,9915,1,0.53,0.41,0.3,55.12
3,2,mixed,1662,2,0.56,0.4,0.19,80.35
19,1,mixed,3105,3,0.41,0.34,0.71,63.92
18,3,bus,9793,2,0.57,0.24,0.63,51.35
2,5,mixed,8472,0,0.61,0.46,0.24,76.01
14,1,cab,7148,0,0.62,0.69,0.84,27.68
12,2,bus,1507,0,0.26,0.14,0.83,15.59
20,6,walking,2903,5,0.19,0.53,0.49,96.21
18,3,auto,3869,5,0.88,0.3,0.7,54.45
21,2,bus,6140,0,0.6,0.61,0.56,50.45
4,6,cab,1522,2,0.91,0.97,0.05,66.4
17,6,cab,2297,2,0.87,0.24,0.88,19.31
12,5,cab,6771,3,0.41,0.55,0.86,39.38
15,1,auto,9600,3,0.85,0.36,0.77,39.38
9,6,auto,2700,0,0.12,0.02,0.89,13.59
15,5,bus,2724,0,0.18,0.81,0.94,35.61
22,4,bus,3445,3,0.53,0.55,0.21,81.91
11,1,auto,7459,4,0.06,0.5,0.89,54.05
22,4,cab,7231,4,0.6,0.03,0.06,62.25
15,5,cab,2354,4,0.51,0.69,0.66,43.67
23,4,cab,8117,4,0.12,0.89,0.08,84.97
15,5,walking,9334,4,0.35,0.05,0.74,55.08
0,3,bus,8899,3,0.6,0.33,0.17,80.13
9,2,auto,1078,5,0.93,0.75,0.89,46.32
18,2,walking,8252,4,0.21,0.05,0.8,73.68
23,4,walking,5199,3,0.13,0.51,0.35,100
8,2,auto,5103,2,0.86,0.01,0.64,24.08
5,4,auto,7817,2,0.82,0.26,0.3,64.89
15,1,mixed,1042,2,0.98,0.97,0.84,49.79
4,6,bus,7265,3,0.28,0.44,0.27,84.88
6,4,cab,1390,5,0.3,0.82,0.62,48.29
14,3,bus,5437,3,0.76,0.75,0.81,51.21
12,5,bus,8275,2,0.19,0.87,0.6,59.09
14,3,cab,9187,5,0.96,0.1,0.81,30.94
11,6,bus,4966,2,0.31,0.8,0.7,52.11
18,3,bus,4461,5,0.69,0.77,0.56,75.52
21,5,auto,5632,4,0.06,0.01,0.33,65.48
13,0,mixed,2202,5,0.47,0.22,0.71,49.01
6,0,walking,2006,0,0.94,0.66,0.93,29.35
19,5,walking,2465,0,0.86,0.13,0.63,40.46
20,4,auto,2316,5,0.23,0.29,0.63,58.88
2,5,bus,5028,3,0.71,0.67,0.32,84.3
8,1,walking,5043,0,0.41,0.33,0.62,34.88
8,1,bus,1637,3,0.98,0.2,0.76,28.74
20,3,walking,2857,4,0.78,0.22,0.62,69.34
14,5,cab,2192,0,0.12,0.57,0.7,25.27
14,0,bus,2938,5,0.66,0.93,0.87,59.52
8,1,cab,6911,4,0.05,0.71,0.91,49.61
15,3,bus,1648,4,0.26,0.38,0.88,44.72
15,0,mixed,9270,2,0.37,0.3,0.62,47.3
20,0,cab,9259,2,0.13,0.46,0.68,48.22
20,1,auto,9584,0,0.97,0.66,0.45,48.01
12,0,cab,8470,0,0.89,0.44,0.68,21.83
1,1,walking,4407,3,0.42,0.79,0.28,100
15,4,bus,768,0,0.37,0.34,0.89,18.34
12,0,auto,9070,3,0.94,0.87,0.81,51.8
23,4,auto,1680,0,0.75,0.49,0.06,57.44
19,0,auto,2638,0,0.21,0.05,0.45,32.95
3,3,mixed,3296,4,0.11,0.82,0.09,100
19,6,mixed,4113,0,0.81,0.43,0.71,49.35
23,5,bus,5812,0,0.98,0.58,0.1,71.33
6,6,walking,3341,2,0.11,0.27,0.9,42.61
5,5,cab,9567,1,0.47,0.93,0.06,69.97
3,6,mixed,6662,1,0.06,0.49,0.05,92.78
5,0,mixed,5148,3,0.71,0.79,0.22,100
4,1,auto,4939,4,0.48,0.24,0.11,78.44
22,0,mixed,3449,5,0.52,0.95,0.27,100
9,2,bus,574,4,0.27,0.12,0.81,36.68
3,4,cab,9342,4,0.26,0.77,0.28,78.97
8,0,auto,2346,1,0.7,0.97,0.79,40.29
5,1,walking,1385,5,0.4,0.21,0.14,98.73
19,6,bus,1209,0,0.75,0.92,0.39,58.26
0,3,mixed,2401,0,0.9,0.72,0.26,74.03
10,3,auto,5836,1,0.79,0.33,0.64,28.94
23,3,auto,6652,1,0.12,0.59,0.07,77.79
13,1,auto,7954,1,0.42,0.14,0.89,24.88
20,2,cab,3813,2,0.17,0.69,0.33,53.83
4,0,bus,8013,3,0.21,0.34,0.36,81.41
19,1,mixed,3284,4,0.97,0.86,0.34,87.92
16,3,auto,8257,3,0.32,0.73,0.89,52.51
7,1,cab,7614,4,0.26,0.93,0.98,52.2
18,0,bus,1224,0,0.99,0.73,0.55,43.31
13,4,bus,8352,5,0.83,0.45,0.7,51.97
17,6,walking,7162,1,0.18,0.3,0.86,42.36
2,0,bus,5494,1,0.72,0.86,0.31,79.03
0,3,bus,2771,5,0.44,0.79,0.18,95.72
14,5,walking,1658,3,0.9,0.33,0.61,44.68
13,6,cab,9387,4,0.8,0.79,0.63,48.94
10,5,walking,8933,5,0.4,0.05,0.75,55.5
14,4,walking,6489,2,0.22,0.56,0.63,62.26
22,6,auto,2767,2,0.28,0.11,0.22,66.52
18,6,auto,4193,2,0.39,0.27,0.64,52.6
8,0,walking,6608,2,0.48,0.5,0.93,51.79
15,5,mixed,9230,2,0.48,0.37,0.87,44.28
22,6,walking,3585,3,0.13,0.39,0.11,100
2,0,auto,5021,0,0.71,0.5,0.36,58.53
16,5,walking,5303,3,0.97,0.54,0.65,57.25
11,3,bus,851,2,0.23,0.02,0.92,21.64
16,5,cab,7245,4,0.38,0.65,0.73,47.81
18,5,mixed,9486,3,0.49,0.57,0.75,80.84
9,1,cab,4215,3,0.4,0.29,0.94,29.94
4,2,cab,7969,1,0.64,0.16,0.24,49.35
5,1,auto,3141,1,0.16,0.99,0.25,81.06
14,2,cab,3522,1,0.58,0.03,0.73,15.32
11,1,cab,7847,4,0.98,0.53,0.65,41.51
0,3,bus,2881,3,0.93,0.16,0.39,63.62
17,4,cab,5342,3,0.9,0.97,0.9,43.21
18,5,auto,9760,5,0.91,0.44,0.64,67.55
23,3,walking,2784,5,0.57,0.31,0.19,100
7,3,cab,2015,2,0.1,0.64,0.83,34.33
7,6,cab,3706,0,0.13,0.85,0.87,31.28
2,4,bus,3685,3,0.35,0.61,0.38,83.25
21,2,bus,2923,5,0.86,0.37,0.49,61.31
9,2,cab,5547,3,0.88,0.09,0.89,23.9
14,5,bus,7749,2,0.21,0.73,0.96,49.78
23,3,auto,1910,1,0.25,0.47,0.35,63.19
10,0,mixed,6656,0,0.06,0.64,0.71,47.23
5,4,bus,9804,1,0.24,0.83,0.15,86.69
15,0,cab,5479,3,0.58,0.46,0.61,37.55
0,1,cab,5417,5,0.84,0.47,0.28,67.22
9,3,auto,8559,5,0.66,0.03,0.91,36.59
15,0,mixed,6427,4,0.51,0.44,0.7,61.86
21,3,walking,6614,4,0.75,0.02,0.43,72.69
18,0,auto,5737,3,0.88,0.14,0.38,50.67
8,2,bus,6332,0,0.33,0.53,0.97,30.92
16,1,auto,2048,4,0.76,0.54,0.95,41.78
21,6,cab,4947,5,0.71,0.36,0.57,55.68
11,6,auto,711,1,0.54,0.37,0.79,23.32
10,1,walking,4069,1,0.53,0.83,0.92,51.48
17,4,mixed,9217,5,0.57,0.76,0.65,74.08
14,0,walking,2650,0,0.51,0.31,0.75,26.31
14,4,mixed,6104,1,0.72,0.03,0.93,21.9
7,1,auto,4212,2,0.17,0.13,0.63,32.46
22,6,walking,1773,0,0.79,0.76,0.06,90.99
3,0,mixed,1471,3,0.16,0.25,0.07,88.06
21,0,walking,2528,4,0.25,0.9,0.39,100
11,0,walking,2884,5,0.94,0.95,0.74,74.79
5,6,mixed,4462,4,0.59,0.1,0.25,86.95
0,4,auto,3638,2,0.21,0.75,0.05,82.9
23,0,auto,8760,5,0.5,0.7,0.11,93.91
21,0,auto,6313,3,0.45,0.51,0.5,63.69
10,0,bus,2307,4,0.18,0.76,0.88,57.25
17,5,walking,1847,2,0.52,0.38,0.78,41.12
23,2,bus,4200,4,0.44,0.98,0.2,100
2,6,bus,6520,1,0.06,0.67,0.29,81.63
12,3,mixed,1892,0,0.19,0.4,0.84,27.87
3,5,auto,1560,2,0.98,0.34,0.26,59.26
12,0,auto,7458,5,0.52,0.76,0.91,57.55
18,2,bus,6334,3,0.68,0.95,0.79,73.48
16,2,auto,7948,0,0.17,0.49,0.69,33.88
4,0,walking,1365,0,0.52,0.03,0.11,61.32
19,5,cab,3002,2,0.64,0.1,0.34,41.0
16,6,bus,8135,1,0.33,0.5,0.8,38.66
17,2,mixed,9455,0,0.95,0.03,0.77,16.34
3,3,bus,5653,3,0.47,0.04,0.11,72.51
21,6,cab,3189,3,0.46,0.31,0.49,50.1
3,4,bus,9573,5,0.56,0.47,0.25,90.01
5,4,walking,6912,2,0.52,0.97,0.27,100
11,6,cab,5750,0,0.08,0.05,0.93,15.28
11,6,mixed,940,5,0.37,0.1,0.74,43.57
11,3,cab,1424,5,0.28,0.23,0.72,34.08
2,5,walking,5495,0,0.37,0.02,0.16,69.29
14,5,bus,9806,4,0.91,0.27,0.88,42.56
18,0,cab,6688,4,0.42,0.57,0.7,57.3
3,5,auto,6004,3,0.53,0.76,0.17,87.26
19,2,cab,7643,1,0.52,0.85,0.69,49.46
17,1,cab,4844,0,0.33,0.57,0.92,24.2
19,5,walking,9973,0,0.61,0.27,0.58,56.96
16,3,bus,3936,2,0.81,0.65,0.72,41.33
9,3,mixed,5633,1,0.44,0.25,0.81,33.44
21,6,mixed,3458,0,0.65,0.52,0.39,58.28
15,1,bus,4889,5,0.56,0.61,0.91,53.56
13,4,walking,9056,1,0.4,0.15,0.66,37.92
21,6,cab,7633,3,0.35,0.83,0.33,68.34
6,6,bus,4873,2,0.66,0.26,0.84,31.26
12,1,walking,2956,1,0.08,0.8,0.72,57.4
15,4,bus,7414,5,0.91,0.2,0.71,43.94
0,2,cab,9522,1,0.66,0.04,0.3,45.83
0,0,walking,5643,4,0.33,0.06,0.38,96.32
11,5,walking,7002,5,0.85,0.24,0.83,55.5
16,0,mixed,9105,2,0.52,0.09,0.84,35.09
10,2,mixed,6888,5,0.76,0.94,0.69,77.28
3,1,auto,4998,3,0.44,0.86,0.07,90.76
17,2,walking,5685,4,0.45,0.68,0.99,70.29
4,2,bus,6525,2,0.07,0.97,0.26,96.22
23,5,walking,4426,2,0.58,0.31,0.39,90.55
11,6,walking,9263,1,0.86,0.39,0.96,35.64
12,2,cab,1978,1,0.33,0.86,0.66,34.93
14,5,cab,7156,0,0.31,0.08,0.91,15.49
15,3,bus,5951,5,0.45,0.92,0.64,68.81
5,5,cab,8795,0,0.38,0.6,0.33,55.69
23,2,bus,948,0,0.66,0.18,0.21,49.47
20,1,walking,7064,1,0.65,0.31,0.34,64.44
5,1,mixed,2631,4,0.7,0.79,0.16,100
15,6,auto,4770,1,0.7,0.83,0.92,38.03
6,0,bus,6522,1,0.42,0.38,0.93,32.33
18,1,walking,876,4,0.66,0.63,0.75,79.64
14,1,cab,3264,0,0.43,0.43,0.7,21.0
2,2,auto,9793,0,0.06,0.53,0.32,67.95
14,6,bus,2441,1,0.73,0.19,0.94,18.01
8,2,bus,6759,1,0.46,0.21,0.69,30.73
